"","sample_ID","PERE_total_reads","phiX_mapped_prop","PERE_mapped_reads","PERE_QC_failed_reads","PERE_mapped_prop","population","added_prop"
"174","PERE_P16-230",35611,0.9149,32580,3031,0.0712,14,0.9861
"175","PERE_P16-52",4548,0.9859,4484,64,0,13,0.9859
"176","PERE_P16-11",80292,0.9857,79141,1151,0,4,0.9857
"177","PERE_P16-178",414,0.1087,45,369,0.8768,3,0.9855
"178","PERE_P16-154",934,0.0214,20,914,0.9641,3,0.9855
"179","PERE_P16-122",410,0.2244,92,318,0.761,13,0.9854
"180","PERE_P16-364",546,0.0806,44,502,0.9048,16,0.9854
"181","PERE_P16-141",1487987,0.9852,1465953,22034,2e-04,11,0.9854
"182","PERE_P16-349",313,0.23,72,241,0.755,15,0.985
"183","PERE_P16-242",123563,0.9781,120851,2712,0.0066,15,0.9847
"184","PERE_P16-161",1335645,0.9841,1314360,21285,5e-04,11,0.9846
"185","PERE_P16-351",85992,0.9705,83455,2537,0.0137,15,0.9842
"186","PERE_P16-113",1616,0.0557,90,1526,0.9284,1,0.9841
"187","PERE_P16-74",4483570,0.9835,4409526,74044,2e-04,11,0.9837
"188","PERE_P16-284",2110468,0.9831,2074842,35626,3e-04,5,0.9834
"189","PERE_P16-314",980907,0.9824,963647,17260,7e-04,11,0.9831
"190","PERE_P16-83",9346,0.8376,7828,1518,0.1453,3,0.9829
"191","PERE_P16-102",822,0.6813,560,262,0.3015,6,0.9828
"192","PERE_P16-297",6792,0.7151,4857,1935,0.2677,10,0.9828
"193","PERE_P16-280",177230,0.9782,173367,3863,0.0045,4,0.9827
"194","PERE_P16-305",2740179,0.9822,2691461,48718,5e-04,10,0.9827
"195","PERE_P16-270",744,0.004,3,741,0.9783,16,0.9823
"196","PERE_P16-252",50146,0.9527,47774,2372,0.0293,15,0.982
"197","PERE_P16-42",8016,0.982,7872,144,0,8,0.982
"198","PERE_P16-288",273351,0.9779,267301,6050,0.004,6,0.9819
"199","PERE_P16-298",852812,0.9809,836551,16261,7e-04,10,0.9816
"200","PERE_P16-337",878244,0.9793,860089,18155,0.0016,12,0.9809
"201","PERE_P16-16",178573,0.9807,175129,3444,0,11,0.9807
"202","PERE_P16-44",11659,0.9796,11421,238,0,4,0.9796
"203","PERE_P16-37",17662,0.979,17291,371,0,12,0.979
"204","PERE_P16-94",294815,0.9746,287336,7479,0.0041,1,0.9787
"205","PERE_P16-40",187777,0.9782,183689,4088,0,13,0.9782
"206","PERE_P16-295",779082,0.9767,760940,18142,0.0013,10,0.978
"207","PERE_P16-309",90015,0.9616,86562,3453,0.0164,11,0.978
"208","PERE_P16-31",43322,0.9779,42363,959,0,4,0.9779
